act,prompt,for_devs,type,contributor
Markdown to HTML Converter,WebMCP service for converting Markdown documents to styled HTML with syntax highlighting and TOC generation.,TRUE,WEBMCP,demo-alex
Cloudflare DNS Manager,"MCP service for managing Cloudflare DNS zones and records — create, update, delete, and list DNS entries.",TRUE,MCP,demo-jordan
Code Review Assistant,"WebMCP service that analyzes pull requests and provides code review feedback on style, bugs, and security.",TRUE,WEBMCP,demo-taylor
GraphQL Playground,"MCP service for introspecting GraphQL schemas, running queries, and testing mutations against any endpoint.",TRUE,MCP,demo-morgan
Prometheus Metrics Exporter,"MCP service for querying Prometheus metrics, setting up alerts, and generating dashboards.",TRUE,MCP,demo-riley
Webhook Relay,"WebMCP service for receiving, inspecting, replaying, and forwarding webhooks from any source.",TRUE,WEBMCP,demo-casey
Currency Exchange Rates,WebMCP service providing real-time and historical currency exchange rates for 160+ currencies.,FALSE,WEBMCP,demo-avery
Elasticsearch Query Builder,"MCP service for building and executing Elasticsearch queries, managing indices, and viewing cluster health.",TRUE,MCP,demo-pat
Discord Bot Controller,"MCP service for managing Discord bots — send messages, manage roles, moderate channels, and configure webhooks.",FALSE,MCP,demo-quinn
Cron Job Scheduler,"WebMCP service for scheduling, managing, and monitoring cron jobs with retry logic and failure alerts.",TRUE,WEBMCP,demo-sam
OAuth Token Manager,"MCP service for managing OAuth2 tokens — refresh, revoke, introspect, and generate tokens for multiple providers.",TRUE,MCP,demo-alex
CSV Data Processor,"WebMCP service for parsing, transforming, filtering, and exporting CSV data with column mapping support.",FALSE,WEBMCP,demo-jordan
Log Analyzer,"MCP service for parsing, searching, and analyzing application logs with pattern detection and alerting.",TRUE,MCP,demo-taylor
Vercel Deployment Manager,"WebMCP service for deploying, previewing, and managing Vercel projects and serverless functions.",TRUE,WEBMCP,demo-morgan
JSON Schema Validator,"MCP service for validating JSON documents against schemas, generating schemas from samples, and converting formats.",TRUE,MCP,demo-casey
Embeddings Generator,"WebMCP service for generating text embeddings using multiple models, with similarity search and clustering.",TRUE,WEBMCP,demo-riley
Secrets Vault,"MCP service for securely storing and retrieving secrets, API keys, and configuration values.",TRUE,MCP,demo-avery
Sitemap Generator,WebMCP service for crawling websites and generating XML sitemaps with priority and frequency settings.,TRUE,WEBMCP,demo-pat
Linear Issue Sync,"WebMCP service for syncing, creating, and managing Linear issues and project boards.",FALSE,WEBMCP,demo-quinn
API Rate Limiter,MCP service for implementing and managing API rate limiting with sliding window and token bucket algorithms.,TRUE,MCP,demo-sam
